y_true,y_pred
170.0,139.68735
175.0,177.70235
173.0,174.114
175.0,197.88971
175.0,150.54784
170.0,151.04999
173.0,141.69019
174.0,192.79282
170.0,146.75383
168.0,174.35599
168.0,185.29477
175.0,139.99289
170.0,148.66678
164.0,176.82425
173.0,189.9114
173.0,138.8022
168.0,181.98236
173.0,136.82407
175.0,184.33353
175.0,172.97232
170.0,153.75076
164.0,171.61478
175.0,202.3801
170.0,173.35391
175.0,149.53568
183.0,187.90176
168.0,175.44408
170.0,174.18607
183.0,171.4607
170.0,171.51578
173.0,129.18219
173.0,129.31229
170.0,213.36217
164.0,171.21976
170.0,152.86595
160.0,175.71095
173.0,182.43402
173.0,189.1238
164.0,175.15598
170.0,152.69968
175.0,185.95203
175.0,197.50758
164.0,170.50967
175.0,194.36403
168.0,170.61223
170.0,144.52988
173.0,138.9064
170.0,147.03905
170.0,146.67471
162.0,178.63004
170.0,146.79846
175.0,194.73035
174.0,196.55722
170.0,144.15698
175.0,159.08997
170.0,184.31137
170.0,153.37395
164.0,177.38652
183.0,193.29259
164.0,174.6082
170.0,139.89293
183.0,172.59595
168.0,178.93663
162.0,172.20029
173.0,182.0599
175.0,182.79684
177.0,172.78519
175.0,159.71222
174.0,198.27084
175.0,148.48373
177.0,191.3583
164.0,173.95053
170.0,173.90161
170.0,178.73224
162.0,187.94354
175.0,146.47058
160.0,173.41257
170.0,143.21881
162.0,177.37784
170.0,176.06984
170.0,144.0919
